,route,IATA_O,IATA_D,HH_ISO_D,region_D,HH_ISO_O,region_O,LegHH_ISO,LegRegion,Origin,Destination,fixRoute_1,Leg_fixRoute_1,fixRoute_2,Leg_fixRoute_2,fixRoute_3,Leg_fixRoute_3
0,JFK-ZRH,JFK,ZRH,CHE,Europe,USA,Americas,USA-CHE,Americas-Europe,JFK,ZRH,JFK->ZRH,1,JFK->ZRH,1,JFK->ZRH,1
1,JFK-FRA,JFK,FRA,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,FRA,JFK->FRA,1,JFK->FRA,1,JFK->FRA,1
2,JFK-CDG,JFK,CDG,FRA,Europe,USA,Americas,USA-FRA,Americas-Europe,JFK,CDG,JFK->CDG,1,JFK->CDG,1,JFK->CDG,1
3,JFK-VIE,JFK,VIE,AUT,Europe,USA,Americas,USA-AUT,Americas-Europe,JFK,VIE,JFK->VIE,1,JFK->VIE,1,JFK->VIE,1
4,JFK-LHR,JFK,LHR,GBR,Europe,USA,Americas,USA-GBR,Americas-Europe,JFK,LHR,JFK->LHR,1,JFK->LHR,1,JFK->LHR,1
5,JFK-AMS,JFK,AMS,NLD,Europe,USA,Americas,USA-NLD,Americas-Europe,JFK,AMS,JFK->AMS,1,JFK->AMS,1,JFK->AMS,1
6,JFK-MAD,JFK,MAD,ESP,Europe,USA,Americas,USA-ESP,Americas-Europe,JFK,MAD,JFK->MAD,1,JFK->MAD,1,JFK->MAD,1
7,JFK-FCO,JFK,FCO,ITA,Europe,USA,Americas,USA-ITA,Americas-Europe,JFK,FCO,JFK->FCO,1,JFK->FCO,1,JFK->FCO,1
8,JFK-LIS,JFK,LIS,PRT,Europe,USA,Americas,USA-PRT,Americas-Europe,JFK,LIS,JFK->LIS,1,JFK->LIS,1,JFK->LIS,1
9,JFK-SVO,JFK,SVO,RUS,Europe,USA,Americas,USA-RUS,Americas-Europe,JFK,SVO,JFK->SVO,1,JFK->SVO,1,JFK->SVO,1
10,JFK-MUC,JFK,MUC,DEU,Europe,USA,Americas,USA-DEU,Americas-Europe,JFK,MUC,JFK->MUC,1,JFK->MUC,1,JFK->MUC,1
11,JFK-BCN,JFK,BCN,ESP,Europe,USA,Americas,USA-ESP,Americas-Europe,JFK,BCN,JFK->BCN,1,JFK->BCN,1,JFK->BCN,1
12,JFK-DUB,JFK,DUB,IRL,Europe,USA,Americas,USA-IRL,Americas-Europe,JFK,DUB,JFK->DUB,1,JFK->DUB,1,JFK->DUB,1
