Country Assoc,List of Country Hubs,Filtered Country Hubs,sub-region
ABW,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
AFG,['IND'],"['ARE', 'TUR', 'QAT']",Southern Asia
AGO,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
AIA,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL']",#N/A
ARE,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']","['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",Western Asia
ARG,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
ARM,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",['TUR'],Western Asia
ATG,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL']",#N/A
AUS,"['ARE', 'AUS']","['ARE', 'AUS']",Australia and New Zealand
AZE,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",['TUR'],Western Asia
BDI,"['SEN', 'ZAF']","['SEN', 'ZAF']",#N/A
BEN,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
BFA,"['SEN', 'ZAF']",['SEN'],#N/A
BGD,['IND'],"['ARE', 'IND', 'TUR', 'QAT']",Southern Asia
BHR,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']","['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",Western Asia
BHS,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
BLZ,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
BMU,"['USA', 'CAN']","['USA', 'CAN']",Northern America
BOL,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
BRA,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
BRB,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
BRN,"['MYS', 'AUS', 'BRN', 'SGP']","[ 'SGP', 'ARE', 'TUR', 'SAU', 'QAT']",South-eastern Asia
BTN,['IND'],"['ARE', 'IND', 'TUR', 'QAT']",Southern Asia
BWA,"['SEN', 'ZAF']","['SEN', 'ZAF', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
CAF,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
CAN,"['USA', 'CAN', 'BMU']","['USA', 'CAN']",Northern America
CCK,['AUS'],['AUS'],#N/A
CHL,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
CHN,"['HKG', 'JPN', 'TWN', 'CHN']","['CHN', 'ARE', 'TUR', 'JPN', 'QAT']",Eastern Asia
CIV,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
CMR,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
COD,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
COG,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
COL,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
COM,"['SEN', 'ZAF']",['SEN'],#N/A
CPV,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
CRI,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
CUB,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
CXR,['AUS'],['AUS'],#N/A
CYM,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL']",#N/A
CYP,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",['TUR'],Western Asia
DJI,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
DMA,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
DOM,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
DZA,"['MAR', 'DZA']","['MAR', 'DZA']",Northern Africa
ECU,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
EGY,"['MAR', 'DZA']","['MAR', 'DZA', 'TUR']",Northern Africa
ERI,"['SEN', 'ZAF']","['SEN', 'ZAF']",#N/A
ESH,"['MAR', 'DZA']","['MAR', 'DZA']",Northern Africa
ETH,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
FLK,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL']",#N/A
GAB,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
GEO,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",['TUR'],Western Asia
GHA,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
GIN,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
GLP,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL']",#N/A
GMB,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
GNB,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
GNQ,"['SEN', 'ZAF']",['SEN'],#N/A
GRD,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
GRL,"['USA', 'CAN', 'BMU']","['USA', 'CAN', 'BMU']",#N/A
GTM,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
GUF,"['BRA', 'ARG', 'BOL']",['BRA'],#N/A
GUY,"['BRA', 'ARG', 'BOL']",['BRA'],#N/A
HKG,"['ARE', 'HKG', 'JPN', 'BHR', 'TWN', 'AUS', 'BRN', 'CHN']","['ARE', 'HKG', 'JPN', 'BHR', 'TWN']",Eastern Asia
HND,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
HTI,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
IDN,"['MYS', 'AUS', 'BRN', 'SGP']","[ 'SGP', 'ARE', 'TUR', 'SAU', 'QAT']",South-eastern Asia
IND,"['ARE', 'IND', 'HKG', 'BHR', 'AUS']","['ARE', 'IND', 'TUR', 'QAT']",Southern Asia
IOT,"['SEN', 'ZAF']","['SEN', 'ZAF']",#N/A
IRN,"['ARE', 'IND']","['ARE', 'QAT', 'TUR']",Southern Asia
IRQ,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']","['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",Western Asia
ISR,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",['TUR'],Western Asia
JAM,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
JOR,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",['TUR'],Western Asia
JPN,"['ARE', 'HKG', 'JPN', 'TWN', 'AUS', 'CHN']","['ARE', 'JPN', 'TWN', 'CHN']",Eastern Asia
KAZ,"['ARE', 'IND', 'KAZ']","['KAZ', 'TUR', 'IND', 'QAT', 'ARE']",Central Asia
KEN,"['SEN', 'ZAF']","['SEN', 'MAR', 'DZA', 'TUR']",Sub-Saharan Africa
KGZ,['KAZ'],"['KAZ', 'TUR', 'IND', 'QAT', 'ARE']",Central Asia
KHM,"['MYS', 'BRN', 'SGP']","[ 'SGP', 'ARE', 'TUR', 'SAU', 'QAT']",South-eastern Asia
KNA,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL']",#N/A
KOR,"['ARE', 'QAT', 'IND', 'HKG', 'JPN', 'KAZ', 'MYS', 'TWN', 'AUS', 'CHN']","['ARE', 'QAT', 'IND', 'JPN', 'KAZ', 'TWN', 'CHN']",Eastern Asia
KWT,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']","['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",Western Asia
LAO,"['MYS', 'BRN', 'SGP']","['MYS', 'BRN', 'SGP']",#N/A
LBN,"['ARE', 'QAT', 'TUR', 'BHR', 'SAU']",['TUR'],Western Asia
LBR,"['SEN', 'ZAF']",['SEN'],Sub-Saharan Africa
LBY,"['MAR', 'DZA']","['MAR', 'DZA']",Northern Africa
LCA,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
LKA,['IND'],"['ARE', 'IND', 'TUR', 'QAT']",Southern Asia
LSO,"['SEN', 'ZAF']","['SEN', 'ZAF']",#N/A
MAC,"['HKG', 'JPN', 'MYS', 'TWN', 'CHN']","['JPN', 'MYS', 'TWN', 'CHN']",Eastern Asia
MAR,"['MAR', 'DZA']","['MAR', 'DZA']",Northern Africa
MDG,"['SEN', 'ZAF']","['SEN', 'ZAF']",Sub-Saharan Africa
MDV,['IND'],"['ARE', 'IND', 'TUR', 'QAT']",Southern Asia
MEX,"['BRA', 'ARG', 'BOL']","['BRA', 'ARG', 'BOL', 'USA']",Latin America and the Caribbean
