init_id,list_of_passengers,route,num_in_party,BookingAgency,BookingDay,Unnamed: 0,IATA_O,IATA_D,HH_ISO_D,region_D,HH_ISO_O,region_O,LegHH_ISO,LegRegion,Origin,Destination,fixRoute,Leg_fixRoute,stay_day,airport_itinerary_out,full_routes
CDG-BCN-business-ID0,['JEY_4_1'],CDG-BCN,1,BookingAgency1,15,1089.0,CDG,BCN,ESP,Europe,FRA,Europe,FRA-ESP,Europe-Europe,CDG,BCN,CDG->BCN,1,9.0,"['CDG', 'BCN']",['CDG-BCN']
CDG-DUB-group-ID0,['DJI_1_1'],CDG-DUB,1,BookingAgency1,15,1091.0,CDG,DUB,IRL,Europe,FRA,Europe,FRA-IRL,Europe-Europe,CDG,DUB,CDG->DUB,1,8.0,"['CDG', 'DUB']",['CDG-DUB']
CDG-LHR-group-ID0,['IMN_1_1'],CDG-LHR,1,BookingAgency1,29,1063.0,CDG,LHR,GBR,Europe,FRA,Europe,FRA-GBR,Europe-Europe,CDG,LHR,CDG->LHR,1,,"['CDG', 'LHR']",['CDG-LHR']
CDG-PHL-business-ID0,['MLT_0_1'],CDG-PHL,1,BookingAgency1,22,1123.0,CDG,PHL,USA,Americas,FRA,Europe,FRA-USA,Europe-Americas,CDG,PHL,CDG->PHL,1,5.0,"['CDG', 'PHL']",['CDG-PHL']
CDG-ZRH-business-ID0,['ETH_2_1'],CDG-ZRH,1,BookingAgency2,29,1053.0,CDG,ZRH,CHE,Europe,FRA,Europe,FRA-CHE,Europe-Europe,CDG,ZRH,CDG->ZRH,1,2.0,"['CDG', 'ZRH']",['CDG-ZRH']
DXB-LHR-business-ID0,['ETH_3_1'],DXB-LHR,1,BookingAgency3,10,5726.0,DXB,LHR,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LHR,DXB->LHR,1,3.0,"['DXB', 'LHR']",['DXB-LHR']
DXB-LIS-business-ID0,['KEN_1_1'],DXB-LIS,1,BookingAgency3,27,5730.0,DXB,LIS,PRT,Europe,ARE,Asia,ARE-PRT,Asia-Europe,DXB,LIS,DXB->LIS,1,2.0,"['DXB', 'LIS']",['DXB-LIS']
DXB-LTN-business-ID0,['TZA_0_1'],DXB-LTN,1,BookingAgency1,16,5742.0,DXB,LTN,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LTN,DXB->CDG->LTN,2,,"['DXB', 'CDG', 'LTN']","['DXB-CDG', 'CDG-LTN']"
DXB-MAD-group-ID0,['BWA_4_1'],DXB-MAD,1,BookingAgency1,19,5728.0,DXB,MAD,ESP,Europe,ARE,Asia,ARE-ESP,Asia-Europe,DXB,MAD,DXB->MAD,1,,"['DXB', 'MAD']",['DXB-MAD']
DXB-WAW-business-ID0,['KEN_0_1'],DXB-WAW,1,BookingAgency3,30,5753.0,DXB,WAW,POL,Europe,ARE,Asia,ARE-POL,Asia-Europe,DXB,WAW,DXB->WAW,1,3.0,"['DXB', 'WAW']",['DXB-WAW']
