init_id,list_of_passengers,route,num_in_party,BookingAgency,BookingDay,Unnamed: 0,IATA_O,IATA_D,HH_ISO_D,region_D,HH_ISO_O,region_O,LegHH_ISO,LegRegion,Origin,Destination,fixRoute,Leg_fixRoute,stay_day,airport_itinerary_out,full_routes
DXB-CDG-SOI-ID0,"['POI_2_1', 'POI_2_2']",DXB-CDG,2,BookingAgency1,18,5724.0,DXB,CDG,FRA,Europe,ARE,Asia,ARE-FRA,Asia-Europe,DXB,CDG,DXB->CDG,1,2.0,"['DXB', 'CDG']",['DXB-CDG']
DXB-LIS-SOI-ID0,['POI_3_1'],DXB-LIS,1,Airlines,25,5730.0,DXB,LIS,PRT,Europe,ARE,Asia,ARE-PRT,Asia-Europe,DXB,LIS,DXB->LIS,1,27.0,"['DXB', 'LIS']",['DXB-LIS']
DXB-LHR-SOI-ID0,"['POI_6_1', 'POI_6_2']",DXB-LHR,2,BookingAgency1,26,5726.0,DXB,LHR,GBR,Europe,ARE,Asia,ARE-GBR,Asia-Europe,DXB,LHR,DXB->LHR,1,10.0,"['DXB', 'LHR']",['DXB-LHR']
CDG-MAD-SOI-ID0,['POI_8_1'],CDG-MAD,1,BookingAgency1,26,1074.0,CDG,MAD,ESP,Europe,FRA,Europe,FRA-ESP,Europe-Europe,CDG,MAD,CDG->MAD,1,,"['CDG', 'MAD']",['CDG-MAD']
CDG-LHR-SOI-ID0,"['POI_9_1', 'POI_9_2']",CDG-LHR,2,BookingAgency1,30,1063.0,CDG,LHR,GBR,Europe,FRA,Europe,FRA-GBR,Europe-Europe,CDG,LHR,CDG->LHR,1,3.0,"['CDG', 'LHR']",['CDG-LHR']
DXB-SVO-SOI-ID0,['POI_11_1'],DXB-SVO,1,BookingAgency1,11,5731.0,DXB,SVO,RUS,Europe,ARE,Asia,ARE-RUS,Asia-Europe,DXB,SVO,DXB->SVO,1,,"['DXB', 'SVO']",['DXB-SVO']
CDG-AMS-SOI-ID0,['POI_12_1'],CDG-AMS,1,BookingAgency1,12,1068.0,CDG,AMS,NLD,Europe,FRA,Europe,FRA-NLD,Europe-Europe,CDG,AMS,CDG->AMS,1,13.0,"['CDG', 'AMS']",['CDG-AMS']
DXB-LYS-SOI-ID0,"['POI_15_1', 'POI_15_2']",DXB-LYS,2,Airlines,29,5795.0,DXB,LYS,FRA,Europe,ARE,Asia,ARE-FRA,Asia-Europe,DXB,LYS,DXB->LYS,1,25.0,"['DXB', 'LYS']",['DXB-LYS']
DXB-DUB-SOI-ID0,"['POI_16_1', 'POI_16_2']",DXB-DUB,2,Airlines,29,5734.0,DXB,DUB,IRL,Europe,ARE,Asia,ARE-IRL,Asia-Europe,DXB,DUB,DXB->DUB,1,8.0,"['DXB', 'DUB']",['DXB-DUB']
CDG-LHR-SOI-ID1,"['POI_17_1', 'POI_17_2']",CDG-LHR,2,BookingAgency2,16,1063.0,CDG,LHR,GBR,Europe,FRA,Europe,FRA-GBR,Europe-Europe,CDG,LHR,CDG->LHR,1,15.0,"['CDG', 'LHR']",['CDG-LHR']
